Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MURS-2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,DAV,147.040000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
2,ALMIRA,147.000000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
3,SPRAGUE,145.190000,-,0.600000,Cross,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,COLVILL,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,NAT SP,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,LC SP C,147.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,SPOK AR,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
8,EPHRATA,145.310000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
9,CHEWELA,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,COULEE,146.860000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
11,KABARA,147.360000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,S,,,,,
12,MAR 12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,W,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,S,,,,,
14,HEAR,155.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,MEDSTAR,155.295000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,MARINE,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
17,LC DISP,156.030000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,70CM,446.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
19,LERN,155.370000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
20,STATE P,155.970000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
21,MARS,155.190000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,COLV SP,154.665000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,SC DISP,153.965000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,FD2 OUT,155.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
