Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MURS 1,151.820000,,0.000000,,88.5,88.5,043,NN,NFM,6.25,,,,,,
2,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,Blue Dot,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,Green Dot,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,FRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,FRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,FRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,FRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,FRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,FRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,FRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
17,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
18,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
19,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
20,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
21,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
22,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
23,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
24,FRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
25,FRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
26,FRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
27,FRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
28,FRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
29,FRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
30,FRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
31,FRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
32,GMRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
33,GMRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
34,GMRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
35,GMRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
36,GMRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
37,GMRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
