Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,151.880000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,DAV,147.040000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,ALMIRA,147.000000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
3,REP,145.190000,-,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
4,SIMP,146.520000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
5,LCARES,147.520000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,SPKARE,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
7,COLV,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,EPH,145.310000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,CHEW,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,GNDCOL,146.860000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
11,MURS1,151.820000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
12,WEN,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
13,KABARA,147.360000,+,0.600000,Tone,156.7,100.0,023,NN,FM,5.00,,,,,,
14,STSGAR,145.250000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
15,TUNK,145.450000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
16,MAR16,156.800000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
17,NOAA,162.400000,,0.600000,,127.3,100.0,023,NN,FM,5.00,S,,,,,
18,LERN,155.370000,,0.600000,,127.3,100.0,023,NN,FM,5.00,S,,,,,
19,HEAR,155.340000,,0.600000,,141.3,100.0,023,NN,FM,5.00,S,,,,,
20,MEDSTR,155.295000,,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
21,,137.690000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,SCF2,155.010000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
23,SCF2,158.865000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,IEVHF,147.340000,+,0.600000,,77.0,100.0,023,NN,FM,5.00,S,,,,,
25,KOOTAR,147.080000,+,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
26,,147.120000,+,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
27,REDCRS,147.420000,,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
28,SCDISP,153.965000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
29,LCFIRE,154.205000,,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
30,,156.030000,,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
31,,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,,156.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,,155.700000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,,155.920000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,,155.955000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,,160.170000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,,154.415000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,,151.130000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,,156.000000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,,159.270000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,,159.420000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,,151.415000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,,154.665000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,,154.845000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,,154.905000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,,154.115000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,,155.775000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,,173.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,,151.940000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,,145.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,,147.200000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
