Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,151.880000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,ST FD,155.385000,+,3.630000,TSQL,94.8,94.8,023,NN,NFM,5.00,,,,,,
2,ST FD,154.340000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,ST FD,154.415000,-,0.630000,TSQL,127.3,127.3,023,NN,NFM,5.00,,,,,,
4,ST FD,154.070000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,ST FD,154.235000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,ST FD,155.010000,+,3.855000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,ST FD,154.400000,-,0.255000,TSQL,127.3,127.3,023,NN,NFM,5.00,,,,,,
8,ST PUB,155.070000,+,4.080000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,ST SO,153.965000,+,1.705000,TSQL,179.9,179.9,023,NN,NFM,5.00,,,,,,
10,ST PUB,154.985000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,MURS1,151.820000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
12,WEN,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
13,KABARA,147.360000,+,0.600000,Tone,156.7,100.0,023,NN,FM,5.00,,,,,,
14,STSGAR,145.250000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
15,SRG45,145.450000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
16,STPW S,154.100000,-,0.300000,TSQL,103.5,103.5,023,NN,NFM,5.00,,,,,,
17,STPW S,154.040000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,LERN,155.370000,,0.600000,,127.3,100.0,023,NN,FM,5.00,S,,,,,
19,HEAR,155.340000,,0.600000,,141.3,100.0,023,NN,FM,5.00,S,,,,,
20,STPW M,151.360000,,0.600000,TSQL,186.2,186.2,023,NN,NFM,5.00,,,,,,
21,MCH PA,157.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,SCF2,155.010000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
23,COLVIL,154.815000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,COLVIL,158.745000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25, KETTL,154.965000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,CHEWEL,155.745000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,REDCRS,147.420000,,0.600000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
28,SCDISP,153.965000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
29,SPO TR,151.130000,+,7.705000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,SPO TR,156.000000,+,2.925000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,SPO TR,155.955000,,0.600000,TSQL,192.8,192.8,023,NN,NFM,5.00,,,,,,
33,SPO TR,160.170000,-,7.215000,DTCS,88.5,88.5,346,NN,NFM,5.00,,,,,,
34,N7BFS,145.250000,-,0.600000,DTCS,88.5,88.5,116,NN,FM,5.00,,,,,,
35,,155.955000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,,160.170000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,IEVHF,145.430000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,KBARA,147.360000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,K7JAR,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,,159.270000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,,159.420000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,,151.415000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,,154.665000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,,154.845000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,,154.905000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,,154.115000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,,155.775000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,,173.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,,151.940000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,,145.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,,147.200000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
