Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LCFD Disp E,154.205000,split,153.950000,TSQL,110.9,110.9,023,NN,NFM,5.00,,Fire Dispatch East,,,,
1,LC Roads,159.120000,,0.600000,TSQL,131.8,131.8,023,NN,NFM,5.00,,Roads Department,,,,
2,LCSO Disp ,156.030000,split,154.950000,,88.5,88.5,023,NN,NFM,5.00,,Sheriff Dispatch,,,,
3,LCFD Disp W,154.205000,split,153.950000,TSQL,136.5,136.5,023,NN,NFM,5.00,,Fire Dispatch West,,,,
4,LCFD Odessa,154.205000,split,153.950000,TSQL,179.9,179.9,023,NN,NFM,5.00,,Fire Dispatch Odessa,,,,
5,LC DEM,155.355000,split,150.775000,,88.5,88.5,023,NN,NFM,5.00,,Emergency Mgmt Department,,,,
6,Almira,53.210000,split,51.510000,,88.5,88.5,023,NN,FM,5.00,,Almira Repeater,,,,
7,W7OHI Dav,147.040000,split,147.640000,,88.5,88.5,023,NN,FM,5.00,,W7OHI Davenport Repeater,,,,
8,W7OHI Almira,147.000000,split,147.600000,,88.5,88.5,023,NN,FM,5.00,,W7OHI Almira Repeater,,,,
9,W7OHI Sprgue,145.190000,split,144.790000,,88.5,88.5,023,NN,FM,5.00,,W7OHISprague Lake,,,,
10,Odessa PD 1,158.730000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Police Ch 1 Dispatch,,,,
11,Odessa PD 2,158.940000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Police Ch 2,,,,
12,Wilbur PW,156.105000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Wilbur Public Works,,,,
13,Davenport PW,155.610000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Davenport Public Works,,,,
14,HarringtonPW,154.100000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Harringinton Public Works,,,,
15,Sprague PW,158.775000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Sprague Public Works,,,,
16,Almira SDbus,155.265000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Almira School Busses,,,,
17,HarringtonSD,155.265000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Harrington School Dist 204 Busses,,,,
18,Odessa SDbus,155.235000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Odessa School District Busses,,,,
